a,r_critical,tau_tangency,Re_q,Im_q,Re_q_prime,Im_q_prime
9.999999999999999547e-07,1.698396445384902753e+00,7.129973351373702428e+01,-1.341105662984759876e-11,9.377425597780953970e-01,8.432554654547175232e-11,-1.756893665484650979e+00
1.778279410038922901e-06,1.696959993629385766e+00,6.170738082896873777e+01,-1.673222814153178233e-11,9.373414730519332716e-01,8.389777761408367951e-11,-1.754799764712905885e+00
3.162277660168379191e-06,1.695048976341841040e+00,5.340428509590554285e+01,-2.713603354337445878e-10,9.368037722396740374e-01,1.592095011382355096e-09,-1.752009061526023537e+00
5.623413251903491208e-06,1.692507585974388995e+00,4.621816116436046684e+01,2.447077541877146082e-14,9.360823129912626550e-01,1.177280495312515995e-12,-1.748290382093115047e+00
1.000000000000000082e-05,1.689129408244813835e+00,3.999989216425669269e+01,-1.139228154599807201e-11,9.351133427109774576e-01,6.502387517315355581e-11,-1.743336424014941155e+00
1.778279410038922901e-05,1.684641299315097873e+00,3.462043634091927657e+01,4.923186413171293111e-12,9.338104477616875343e-01,-2.779054764090460594e-11,-1.736739128510827790e+00
3.162277660168379530e-05,1.678682314751028137e+00,2.996815160951085133e+01,1.363895457953075560e-10,9.320561895726519053e-01,-7.957223768784160711e-10,-1.727957466553332821e+00
5.623413251903490700e-05,1.670776293131285950e+00,2.594648324017308738e+01,-1.568508586345409891e-12,9.296904713962230726e-01,8.508971305332124757e-12,-1.716275597280956688e+00
1.000000000000000048e-04,1.660296391540516892e+00,2.247196822930591864e+01,-8.184726327881021102e-13,9.264942466531821408e-01,4.853339952148871816e-12,-1.700749108126432763e+00
1.778279410038922698e-04,1.646419577489764974e+00,1.947251750675474469e+01,6.416453402377943859e-13,9.221665421960884013e-01,-4.236833106574522390e-12,-1.680137070885451500e+00
3.162277660168379394e-04,1.628068904668031225e+00,1.688594447720592839e+01,-1.342185661138039275e-13,9.162917727757956543e-01,6.102895966364485503e-13,-1.652818334550338220e+00
5.623413251903490971e-04,1.603841579785776794e+00,1.465871618020532807e+01,-8.190396373792911657e-15,9.082928019042176837e-01,4.052314039881821373e-14,-1.616692764874938293e+00
1.000000000000000021e-03,1.571921934235421592e+00,1.274491270055998626e+01,-3.574608342740461510e-14,8.973629597467307484e-01,2.989830605315546563e-13,-1.569073772201587058e+00
1.778279410038922752e-03,1.529981806889517459e+00,1.110539234596171632e+01,-6.651603656434235489e-14,8.823667384569711114e-01,2.616795669041493966e-13,-1.506591306679109232e+00
3.162277660168379394e-03,1.475079979888129555e+00,9.707177383667627169e+00,1.275983500524225090e-14,8.616943460670819510e-01,-8.726352973553730408e-14,-1.425152622317862328e+00
5.623413251903490971e-03,1.403596521154085286e+00,8.523097779464661627e+00,-1.238672146857721755e-15,8.330510945141157420e-01,1.554312234475219157e-15,-1.320069408432448466e+00
1.000000000000000021e-02,1.311304601100263145e+00,7.531743837521450047e+00,7.486209528147342556e-14,7.931689081721574608e-01,-3.159694728083195514e-13,-1.186594900488247895e+00
