a,ell_linear,tau_tangent,dell_dzeta,dtau_dzeta,tangency_residual,dell_dzeta_plus_K3
1.000000000000000021e-02,1.594182412248592806e+00,7.107197671703483266e+00,-2.650016904685160046e+00,-2.185299969819414301e+01,2.684164860657556690e-12,7.847852958595193940e-01
5.623413251903490971e-03,1.690813354997620532e+00,8.032626256448706314e+00,-2.804644129486728588e+00,-3.502802474230441021e+01,7.374389769422886095e-12,6.301580710579508526e-01
3.162277660168379394e-03,1.765309325197054635e+00,9.137975783973214305e+00,-2.905186070637795659e+00,-5.528958835948070316e+01,3.318198091601959016e-12,5.296161299068837813e-01
1.778279410038922752e-03,1.822297901920261198e+00,1.044276337154283141e+01,-2.978513131081222287e+00,-8.657732041878435325e+01,3.492417243432795542e-10,4.562890694634571531e-01
1.000000000000000021e-03,1.865687607446116836e+00,1.197203506473667822e+01,-3.036568715638108706e+00,-1.349745722527358964e+02,7.038201753116565970e-12,3.982334849065707338e-01
5.623413251903490971e-04,1.898619127131321083e+00,1.375632997722587092e+01,-3.085032724538949722e+00,-2.098745882458548806e+02,1.927086351706510049e-11,3.497694760057297181e-01
3.162277660168379394e-04,1.923556781724325537e+00,1.583197359732148968e+01,-3.126782788988965667e+00,-3.257820259321734966e+02,1.418215551404648490e-11,3.080194115557137735e-01
1.778279410038922698e-04,1.942409020701751476e+00,1.824162958711963256e+01,-3.163379257999967109e+00,-5.050909172985951727e+02,1.795295655426010203e-11,2.714229425447123312e-01
1.000000000000000048e-04,1.956642034313978762e+00,2.103506529117213120e+01,-3.195740146760139400e+00,-7.823673083782850881e+02,2.630208043573521500e-11,2.390620537845400406e-01
5.623413251903490700e-05,1.967376297442623656e+00,2.427011290800921373e+01,-3.224461313712922994e+00,-1.210950944364939005e+03,3.609713679234157251e-11,2.103408868317564462e-01
3.162277660168379530e-05,1.975464902374367338e+00,2.801382654585949794e+01,-3.249972662226626063e+00,-1.873130703967186491e+03,4.863675982883648221e-11,1.848295383180533769e-01
1.778279410038922901e-05,1.981555579400516631e+00,3.234384768407630162e+01,-3.272615395855937859e+00,-2.895826704557076482e+03,6.559811449716687292e-11,1.621868046887415815e-01
1.000000000000000082e-05,1.986139095339625849e+00,3.735000059509479797e+01,-3.292680207354503619e+00,-4.474756678005402136e+03,8.692701607129574412e-11,1.421219931901758216e-01
5.623413251903491208e-06,1.989586671016273289e+00,4.313614677215671378e+01,-3.310425875923099781e+00,-6.911673318219778594e+03,1.066679217234078970e-10,1.243763246215796592e-01
3.162277660168379191e-06,1.992178724377788646e+00,4.982233437912960028e+01,-3.326088063542071982e+00,-1.067173769091922804e+04,1.548218066868692840e-10,1.087141370026074583e-01
1.778279410038922901e-06,1.994126848253173323e+00,5.754728581458984138e+01,-3.339883317611771485e+00,-1.647191098377779781e+04,1.860369857171938146e-10,9.491888293290795531e-02
9.999999999999999547e-07,1.995590556799855753e+00,6.647127407658184950e+01,-3.352010849747867560e+00,-2.541712592519908139e+04,2.342564382349200689e-10,8.279135079681188003e-02
5.623413251903490361e-07,1.996690011480977134e+00,7.677944703636877932e+01,-3.362653392340891667e+00,-3.921005365196145431e+04,3.087747307279863936e-10,7.214880820378777315e-02
3.162277660168379191e-07,1.997515671120069225e+00,8.868566824179218600e+01,-3.371977767908032941e+00,-6.047422652364995884e+04,4.300019307257022800e-10,6.282443263664649891e-02
1.778279410038922689e-07,1.998135596830149963e+00,1.024369537230791707e+02,-3.380135456842947583e+00,-9.325175325666778372e+04,5.635541281640902868e-10,5.466674370173185693e-02
9.999999999999999547e-08,1.998600973863522867e+00,1.183185967241480512e+02,-3.387263269768423068e+00,-1.437699367364722129e+05,6.281118657173041958e-10,4.753893077625637176e-02
5.623413251903490494e-08,1.998950280694210546e+00,1.366600866045869509e+02,-3.393484142510149404e+00,-2.216220399857816519e+05,8.599250377407046129e-10,4.131805803453003634e-02
3.162277660168379191e-08,1.999212433630617403e+00,1.578419446674676863e+02,-3.398908032461919859e+00,-3.415858869408905739e+05,1.053253849571560193e-09,3.589416808275958104e-02
1.778279410038922821e-08,1.999409156726832171e+00,1.823036187106751242e+02,-3.403632881407380406e+00,-5.264247847742027370e+05,1.401881744515099839e-09,3.116931913729903414e-02
1.000000000000000021e-08,1.999556766586749301e+00,2.105526000668359643e+02,-3.407745608549589189e+00,-8.112012862509422703e+05,1.595407649076517004e-09,2.705659199509025115e-02
