a,ell_lower,ell_upper
1.000000000000000021e-02,1.000000000000000021e-02,1.518885524792715991e+00
1.067011288488334958e-02,1.000000000000000021e-02,1.518885524792715991e+00
1.138513089761536944e-02,1.000000000000000021e-02,1.518885524792715991e+00
1.214806318867293032e-02,1.000000000000000021e-02,1.518885524792715991e+00
1.296212055558362136e-02,1.000000000000000021e-02,1.518885524792715991e+00
1.383072895555441384e-02,1.000000000000000021e-02,1.518885524792715991e+00
1.475754392359903897e-02,1.000000000000000021e-02,1.429689109435866134e+00
1.574646595684260977e-02,1.000000000000000021e-02,1.429689109435866134e+00
1.680165692974833550e-02,1.000000000000000021e-02,1.429689109435866134e+00
1.792755760934974449e-02,1.000000000000000021e-02,1.429689109435866134e+00
1.912890634420112701e-02,1.000000000000000021e-02,1.429689109435866134e+00
2.041075900569873022e-02,1.000000000000000021e-02,1.429689109435866134e+00
2.177851026569549084e-02,1.000000000000000021e-02,1.345730745520447469e+00
2.323791629995617877e-02,1.000000000000000021e-02,1.345730745520447469e+00
2.479511901300032392e-02,1.000000000000000021e-02,1.345730745520447469e+00
2.645667188628308963e-02,1.000000000000000021e-02,1.345730745520447469e+00
2.822956755849604163e-02,1.000000000000000021e-02,1.345730745520447469e+00
3.012126725405936400e-02,1.000000000000000021e-02,1.266702828948323756e+00
3.213973218365537982e-02,1.000000000000000021e-02,1.266702828948323756e+00
3.429345704895215424e-02,1.000000000000000021e-02,1.266702828948323756e+00
3.659150579252180846e-02,1.000000000000000021e-02,1.266702828948323756e+00
3.904354974340706885e-02,1.000000000000000021e-02,1.192315819644253594e+00
4.165990831887118190e-02,1.000000000000000021e-02,1.192315819644253594e+00
4.445159245362464984e-02,1.000000000000000021e-02,1.192315819644253594e+00
4.743035093930038359e-02,1.000000000000000021e-02,1.192315819644253594e+00
5.060871986919681514e-02,1.000000000000000021e-02,1.122297180747786838e+00
5.400007539637689813e-02,1.000000000000000021e-02,1.122297180747786838e+00
5.761869002715535454e-02,1.000000000000000021e-02,1.122297180747786838e+00
6.147979268688504723e-02,1.000000000000000021e-02,1.056390380101000614e+00
6.559963281082893671e-02,1.000000000000000021e-02,1.056390380101000614e+00
6.999554872984423137e-02,1.000000000000000021e-02,1.056390380101000614e+00
7.468604063867917420e-02,1.000000000000000021e-02,9.943539503737974794e-01
7.969084845396921801e-02,1.000000000000000021e-02,9.943539503737974794e-01
8.503103488959834477e-02,1.000000000000000021e-02,9.943539503737974794e-01
9.072907409904690246e-02,1.000000000000000021e-02,9.943539503737974794e-01
9.680894625777765328e-02,1.000000000000000021e-02,9.359606043832426892e-01
1.032962384837093212e-01,1.000000000000000021e-02,9.359606043832426892e-01
1.102182525205010200e-01,1.000000000000000021e-02,9.359606043832426892e-01
1.176041196368325381e-01,1.000000000000000021e-02,9.359606043832426892e-01
1.254849232252329971e-01,1.000000000000000021e-02,8.809964023657076426e-01
1.338938296164156605e-01,1.000000000000000021e-02,8.809964023657076426e-01
1.428662276596492642e-01,1.000000000000000021e-02,8.809964023657076426e-01
1.524398776565901725e-01,1.000000000000000021e-02,8.809964023657076426e-01
1.626550702753624122e-01,1.000000000000000021e-02,8.809964023657076426e-01
1.735547961136752471e-01,1.000000000000000021e-02,8.809964023657076426e-01
1.851849266245828851e-01,1.000000000000000021e-02,8.809964023657076426e-01
1.975944071663139623e-01,1.000000000000000021e-02,8.809964023657076426e-01
2.108354629886173837e-01,1.000000000000000021e-02,8.809964023657076426e-01
2.249638190225193013e-01,1.000000000000000021e-02,8.809964023657076426e-01
2.400389343984749291e-01,1.000000000000000021e-02,8.809964023657076426e-01
2.561242526798838126e-01,1.000000000000000021e-02,8.809964023657076426e-01
2.732874688650747119e-01,1.000000000000000021e-02,8.809964023657076426e-01
2.916008142814391357e-01,1.000000000000000021e-02,8.809964023657076426e-01
3.111413605706860319e-01,1.000000000000000021e-02,8.809964023657076426e-01
3.319913440445413366e-01,1.000000000000000021e-02,8.809964023657076426e-01
3.542385117759401791e-01,5.783884254866560048e-02,8.809964023657076426e-01
3.779764908822363934e-01,1.940386652453297833e-01,7.805617513658469342e-01
4.033051825545544977e-01,nan,nan
4.303311824915583284e-01,nan,nan
4.591682295070265152e-01,nan,nan
4.899376841991999187e-01,nan,nan
5.227690396963792230e-01,nan,nan
5.578004666282434520e-01,nan,nan
5.951793946163966842e-01,nan,nan
6.350631327313486230e-01,nan,nan
6.776195315271147379e-01,nan,nan
7.230276894396087117e-01,nan,nan
7.714787065217010298e-01,nan,nan
8.231764886870343023e-01,nan,nan
8.783386058472558711e-01,nan,nan
9.371972075541282754e-01,nan,nan
1.000000000000000000e+00,nan,nan
