a,ell_argmax,tau_argmax,max_real_q,tau_final,tau_over_tau_final
3.200000000000000067e-01,4.266197183098591195e-01,3.906250000000000000e+00,1.187474020836245536e-01,3.906250000000000000e+00,1.000000000000000000e+00
3.300000000000000155e-01,4.416901408450704114e-01,3.787878787878787623e+00,1.079195649058437845e-01,3.787878787878787623e+00,1.000000000000000000e+00
3.400000000000000244e-01,4.567605633802816478e-01,3.676470588235293935e+00,9.511614635080425928e-02,3.676470588235293935e+00,1.000000000000000000e+00
3.499999999999999778e-01,4.718309859154929398e-01,3.571428571428571619e+00,8.062444923273434649e-02,3.571428571428571619e+00,1.000000000000000000e+00
3.599999999999999867e-01,4.869014084507041762e-01,3.472222222222222321e+00,6.473709422248236089e-02,3.472222222222222321e+00,1.000000000000000000e+00
3.699999999999999956e-01,5.019718309859154681e-01,3.378378378378378510e+00,4.774262688301297158e-02,3.378378378378378510e+00,1.000000000000000000e+00
3.800000000000000044e-01,5.019718309859154681e-01,3.289473684210526105e+00,3.005124234155443289e-02,3.289473684210526105e+00,1.000000000000000000e+00
3.900000000000000133e-01,5.019718309859154681e-01,3.205128205128204844e+00,1.198286548745481662e-02,3.205128205128204844e+00,1.000000000000000000e+00
4.000000000000000222e-01,4.869014084507041762e-01,3.125000000000000000e+00,-6.045812736659821919e-03,3.125000000000000000e+00,1.000000000000000000e+00
4.099999999999999756e-01,8.000000000000000167e-02,3.048780487804878092e+00,-2.098456892213852384e-02,3.048780487804878092e+00,1.000000000000000000e+00
4.199999999999999845e-01,8.000000000000000167e-02,2.976190476190476275e+00,-2.405941970154980639e-02,2.976190476190476275e+00,1.000000000000000000e+00
4.299999999999999933e-01,8.000000000000000167e-02,2.906976744186046346e+00,-2.683796261376769285e-02,2.906976744186046346e+00,1.000000000000000000e+00
